"Year","LEA","LEA Name","Type","SourceState","SourceFederal","SourceLocal","SourceTotal","Per PupilState","Per PupilFederal","Per PupilLocal","Per PupilTotal","Per PupilPercent"
"2008","220","Clay County Schools","EMPLOYEE BENEFITS","1,746,038","169,102","200,873","2,116,013","1,287.64","124.70","148.14","1,560.48","15.8"
"2008","220","Clay County Schools","PURCHASED SERVICES","536,010","51,972","658,661","1,246,643","395.29","38.32","485.74","919.35","9.4"
"2008","220","Clay County Schools","SUPPLIES & MATERIALS","628,091","166,097","324,040","1,118,228","463.19","122.49","238.97","824.65","8.4"
"2008","220","Clay County Schools","INSTRUCTIONAL EQUIP.","272,153","4,620","119,878","396,651","200.70","3.41","88.41","292.52","3.0"
"2008","220","Clay County Schools","TOTAL","10,554,261","995,600","1,773,677","13,323,538","7,783.38","734.21","1,308.03","9,825.62","100.0"
"2008","230","Cleveland County Schools","SALARIES","72,277,804","8,193,414","15,095,448","95,566,666","4,359.34","494.17","910.46","5,763.97","66.5"
"2008","230","Cleveland County Schools","EMPLOYEE BENEFITS","17,819,243","2,411,771","3,870,074","24,101,088","1,074.74","145.46","233.42","1,453.62","16.8"
"2008","230","Cleveland County Schools","PURCHASED SERVICES","2,569,588","1,372,623","6,116,529","10,058,740","154.98","82.79","368.91","606.68","7.0"
"2008","230","Cleveland County Schools","SUPPLIES & MATERIALS","3,852,876","2,884,874","5,774,875","12,512,625","232.38","174.00","348.30","754.68","8.7"
"2008","230","Cleveland County Schools","INSTRUCTIONAL EQUIP.","1,263,929","11,234","176,023","1,451,186","76.23","0.68","10.62","87.53","1.0"
"2008","230","Cleveland County Schools","TOTAL","97,783,440","14,873,916","31,032,949","143,690,305","5,897.67","897.10","1,871.71","8,666.48","100.0"
"2008","240","Columbus County Schools","SALARIES","32,516,556","3,697,350","1,887,085","38,100,991","4,818.70","547.91","279.65","5,646.26","63.9"
"2008","240","Columbus County Schools","EMPLOYEE BENEFITS","7,831,576","1,044,745","573,335","9,449,656","1,160.58","154.82","84.96","1,400.36","15.9"
"2008","240","Columbus County Schools","PURCHASED SERVICES","1,241,712","1,013,324","3,218,934","5,473,970","184.01","150.17","477.02","811.20","9.2"
"2008","240","Columbus County Schools","SUPPLIES & MATERIALS","1,954,892","1,560,208","1,748,309","5,263,409","289.70","231.21","259.09","780.00","8.8"
"2008","240","Columbus County Schools","INSTRUCTIONAL EQUIP.","1,098,407","110,790","105,992","1,315,189","162.78","16.41","15.71","194.90","2.2"
"2008","240","Columbus County Schools","TOTAL","44,643,143","7,426,417","7,533,655","59,603,215","6,615.77","1,100.52","1,116.43","8,832.72","100.0"
"2008","241","Whiteville City Schools","SALARIES","12,224,083","1,599,329","1,086,940","14,910,352","4,810.74","629.41","427.76","5,867.91","66.9"
"2008","241","Whiteville City Schools","EMPLOYEE BENEFITS","2,955,125","461,465","244,091","3,660,681","1,162.98","181.61","96.06","1,440.65","16.4"
"2008","241","Whiteville City Schools","PURCHASED SERVICES","268,259","305,554","1,049,461","1,623,274","105.57","120.25","413.01","638.83","7.3"
"2008","241","Whiteville City Schools","SUPPLIES & MATERIALS","567,967","794,020","695,208","2,057,195","223.52","312.48","273.60","809.60","9.2"
"2008","241","Whiteville City Schools","INSTRUCTIONAL EQUIP.","0","9,704","42,275","51,979","0.00","3.82","16.64","20.46","0.2"
"2008","241","Whiteville City Schools","TOTAL","16,015,434","3,170,072","3,117,975","22,303,481","6,302.81","1,247.57","1,227.07","8,777.45","100.0"
"2008","250","Craven County Schools","SALARIES","59,860,655","7,313,847","10,543,208","77,717,710","4,125.48","504.05","726.62","5,356.15","66.5"
"2008","250","Craven County Schools","EMPLOYEE BENEFITS","14,411,188","1,796,672","2,527,413","18,735,273","993.19","123.83","174.18","1,291.20","16.0"
"2008","250","Craven County Schools","PURCHASED SERVICES","1,959,322","3,247,504","4,162,517","9,369,343","135.03","223.82","286.87","645.72","8.0"
"2008","250","Craven County Schools","SUPPLIES & MATERIALS","3,567,395","2,967,665","3,772,931","10,307,991","245.86","204.53","260.02","710.41","8.8"
"2008","250","Craven County Schools","INSTRUCTIONAL EQUIP.","405,059","303,557","103,621","812,237","27.92","20.92","7.14","55.98","0.7"
"2008","250","Craven County Schools","TOTAL","80,203,619","15,629,245","21,109,690","116,942,554","5,527.48","1,077.15","1,454.83","8,059.46","100.0"
"2008","260","Cumberland County Schools","SALARIES","208,068,493","37,537,703","44,766,912","290,373,108","3,982.78","718.54","856.91","5,558.23","68.3"
"2008","260","Cumberland County Schools","EMPLOYEE BENEFITS","50,474,447","6,566,039","12,105,015","69,145,501","966.17","125.68","231.71","1,323.56","16.3"
"2008","260","Cumberland County Schools","PURCHASED SERVICES","5,775,400","5,352,385","17,368,953","28,496,738","110.55","102.46","332.47","545.48","6.7"
"2008","260","Cumberland County Schools","SUPPLIES & MATERIALS","11,453,165","9,130,718","9,694,458","30,278,341","219.23","174.78","185.57","579.58","7.1"
"2008","260","Cumberland County Schools","INSTRUCTIONAL EQUIP.","5,238,737","1,430,190","190,627","6,859,554","100.28","27.37","3.65","131.30","1.6"
"2008","260","Cumberland County Schools","TOTAL","281,010,242","60,017,035","84,125,965","425,153,242","5,379.01","1,148.83","1,610.31","8,138.15","100.0"
"2008","270","Currituck County Schools","SALARIES","17,121,114","1,154,954","4,883,424","23,159,492","4,254.75","287.02","1,213.57","5,755.34","63.3"
"2008","270","Currituck County Schools","EMPLOYEE BENEFITS","4,138,000","333,541","1,416,690","5,888,231","1,028.33","82.89","352.06","1,463.28","16.1"
"2008","270","Currituck County Schools","PURCHASED SERVICES","500,666","264,099","2,500,186","3,264,951","124.42","65.63","621.32","811.37","8.9"
"2008","270","Currituck County Schools","SUPPLIES & MATERIALS","1,504,081","425,879","1,352,140","3,282,100","373.78","105.83","336.02","815.63","9.0"
"2008","270","Currituck County Schools","INSTRUCTIONAL EQUIP.","967,592","11,357","21,220","1,000,169","240.46","2.82","5.27","248.55","2.7"
"2008","270","Currituck County Schools","TOTAL","24,231,453","2,189,830","10,173,660","36,594,943","6,021.74","544.19","2,528.24","9,094.17","100.0"
"2008","280","Dare County Schools","SALARIES","20,939,811","1,532,430","10,690,849","33,163,090","4,409.31","322.68","2,251.18","6,983.17","63.4"
"2008","280","Dare County Schools","EMPLOYEE BENEFITS","4,890,131","381,020","3,107,688","8,378,839","1,029.72","80.23","654.39","1,764.34","16.1"
"2008","280","Dare County Schools","PURCHASED SERVICES","576,248","143,388","5,630,215","6,349,851","121.34","30.19","1,185.56","1,337.09","12.1"
"2008","280","Dare County Schools","SUPPLIES & MATERIALS","1,026,782","390,918","2,752,222","4,169,922","216.21","82.31","579.54","878.06","8.0"
"2008","280","Dare County Schools","INSTRUCTIONAL EQUIP.","231,560","0","111","231,671","48.76","0.00","0.02","48.78","0.4"
"2008","280","Dare County Schools","TOTAL","27,664,532","2,447,756","22,181,085","52,293,373","5,825.34","515.41","4,670.69","11,011.44","100.0"
"2008","290","Davidson County Schools","SALARIES","79,115,421","5,682,373","10,898,861","95,696,655","3,864.94","277.60","532.43","4,674.97","66.6"
"2008","290","Davidson County Schools","EMPLOYEE BENEFITS","19,699,481","1,541,687","3,167,651","24,408,819","962.36","75.31","154.75","1,192.42","17.0"
"2008","290","Davidson County Schools","PURCHASED SERVICES","1,868,778","746,197","6,214,296","8,829,271","91.29","36.46","303.58","431.33","6.1"
"2008","290","Davidson County Schools","SUPPLIES & MATERIALS","4,981,913","2,008,506","5,579,822","12,570,241","243.38","98.11","272.59","614.08","8.7"
"2008","290","Davidson County Schools","INSTRUCTIONAL EQUIP.","1,457,852","115,501","667,254","2,240,607","71.22","5.64","32.60","109.46","1.6"
"2008","290","Davidson County Schools","TOTAL","107,123,445","10,094,264","26,527,884","143,745,593","5,233.19","493.12","1,295.95","7,022.26","100.0"
"2008","291","Lexington City Schools","SALARIES","14,356,958","2,252,394","2,735,835","19,345,187","4,713.38","739.46","898.17","6,351.01","66.1"
"2008","291","Lexington City Schools","EMPLOYEE BENEFITS","3,567,195","548,891","718,922","4,835,008","1,171.11","180.20","236.02","1,587.33","16.5"
"2008","291","Lexington City Schools","PURCHASED SERVICES","610,218","322,099","1,921,392","2,853,709","200.33","105.75","630.79","936.87","9.8"
"2008","291","Lexington City Schools","SUPPLIES & MATERIALS","504,815","1,034,181","599,395","2,138,391","165.73","339.52","196.78","702.03","7.3"
"2008","291","Lexington City Schools","INSTRUCTIONAL EQUIP.","0","75,117","3,158","78,275","0.00","24.66","1.04","25.70","0.3"
"2008","291","Lexington City Schools","TOTAL","19,039,186","4,232,682","5,978,702","29,250,570","6,250.55","1,389.59","1,962.80","9,602.94","100.0"
"2008","292","Thomasville City Schools","SALARIES","11,439,563","2,151,563","2,561,639","16,152,765","4,433.94","833.94","992.88","6,260.76","64.7"
"2008","292","Thomasville City Schools","EMPLOYEE BENEFITS","2,802,270","535,135","599,584","3,936,989","1,086.15","207.41","232.40","1,525.96","15.7"
"2008","292","Thomasville City Schools","PURCHASED SERVICES","332,621","1,126,256","1,199,511","2,658,388","128.92","436.53","464.93","1,030.38","10.7"
"2008","292","Thomasville City Schools","SUPPLIES & MATERIALS","488,385","1,098,811","574,938","2,162,134","189.30","425.90","222.84","838.04","8.7"
"2008","292","Thomasville City Schools","INSTRUCTIONAL EQUIP.","0","31,453","6,013","37,466","0.00","12.19","2.33","14.52","0.2"
"2008","292","Thomasville City Schools","TOTAL","15,062,839","4,943,218","4,941,685","24,947,742","5,838.31","1,915.97","1,915.38","9,669.66","100.0"
"2008","300","Davie County Schools","SALARIES","27,514,535","1,516,231","6,784,288","35,815,054","4,134.42","227.83","1,019.43","5,381.68","69.4"
"2008","300","Davie County Schools","EMPLOYEE BENEFITS","6,679,202","398,586","1,680,280","8,758,068","1,003.64","59.89","252.48","1,316.01","17.1"
"2008","300","Davie County Schools","PURCHASED SERVICES","515,907","295,862","1,936,834","2,748,603","77.52","44.46","291.03","413.01","5.3"
"2008","300","Davie County Schools","SUPPLIES & MATERIALS","1,412,869","1,342,152","1,238,521","3,993,542","212.30","201.68","186.10","600.08","7.7"
"2008","300","Davie County Schools","INSTRUCTIONAL EQUIP.","166,074","73,205","28,198","267,477","24.95","11.00","4.24","40.19","0.5"
"2008","300","Davie County Schools","TOTAL","36,288,587","3,626,036","11,668,121","51,582,744","5,452.83","544.86","1,753.28","7,750.97","100.0"
"2008","310","Duplin County Schools","SALARIES","40,053,216","4,588,009","3,763,224","48,404,449","4,518.13","517.54","424.50","5,460.17","64.7"
"2008","310","Duplin County Schools","EMPLOYEE BENEFITS","9,588,494","1,350,247","945,774","11,884,515","1,081.61","152.31","106.69","1,340.61","15.9"
"2008","310","Duplin County Schools","PURCHASED SERVICES","1,644,534","1,510,334","2,796,747","5,951,615","185.51","170.37","315.48","671.36","7.9"
"2008","310","Duplin County Schools","SUPPLIES & MATERIALS","2,473,467","2,332,120","2,703,348","7,508,935","279.01","263.07","304.95","847.03","10.0"
"2008","310","Duplin County Schools","INSTRUCTIONAL EQUIP.","682,711","332,640","104,550","1,119,901","77.01","37.53","11.79","126.33","1.5"
"2008","310","Duplin County Schools","TOTAL","54,442,422","10,113,350","10,313,643","74,869,415","6,141.27","1,140.82","1,163.41","8,445.50","100.0"
"2008","320","Durham County Schools","SALARIES","130,294,545","13,887,416","56,578,277","200,760,238","4,106.09","437.65","1,783.00","6,326.74","65.2"
"2008","320","Durham County Schools","EMPLOYEE BENEFITS","32,168,862","3,547,844","12,648,672","48,365,378","1,013.77","111.80","398.61","1,524.18","15.8"
"2008","320","Durham County Schools","PURCHASED SERVICES","2,346,674","4,515,876","24,290,790","31,153,340","73.95","142.31","765.50","981.76","10.1"
"2008","320","Durham County Schools","SUPPLIES & MATERIALS","12,146,155","6,652,392","7,117,040","25,915,587","382.77","209.64","224.29","816.70","8.4"
"2008","320","Durham County Schools","INSTRUCTIONAL EQUIP.","1,367,726","97,507","155,283","1,620,516","43.10","3.08","4.89","51.07","0.5"
"2008","320","Durham County Schools","TOTAL","178,323,962","28,701,035","100,790,062","307,815,059","5,619.68","904.48","3,176.29","9,700.45","100.0"
"2008","330","Edgecombe County Schools","SALARIES","33,052,196","3,785,392","2,721,857","39,559,445","4,488.96","514.10","369.67","5,372.73","66.1"
"2008","330","Edgecombe County Schools","EMPLOYEE BENEFITS","8,002,532","1,015,976","766,467","9,784,975","1,086.86","137.98","104.10","1,328.94","16.4"
"2008","330","Edgecombe County Schools","PURCHASED SERVICES","1,274,938","914,854","2,531,959","4,721,751","173.15","124.25","343.88","641.28","7.9"
"2008","330","Edgecombe County Schools","SUPPLIES & MATERIALS","2,009,669","1,764,724","1,318,051","5,092,444","272.94","239.68","179.01","691.63","8.5"
"2008","330","Edgecombe County Schools","INSTRUCTIONAL EQUIP.","537,430","41,480","71,343","650,253","72.99","5.63","9.69","88.31","1.1"
"2008","330","Edgecombe County Schools","TOTAL","44,876,765","7,522,426","7,409,677","59,808,868","6,094.90","1,021.64","1,006.35","8,122.89","100.0"
"2008","340","Forsyth County Schools","SALARIES","218,224,762","22,825,479","75,770,260","316,820,501","4,297.45","449.50","1,492.13","6,239.08","68.6"
"2008","340","Forsyth County Schools","EMPLOYEE BENEFITS","51,608,876","5,694,369","18,928,948","76,232,193","1,016.32","112.14","372.76","1,501.22","16.5"
"2008","340","Forsyth County Schools","PURCHASED SERVICES","4,610,585","3,751,629","24,821,854","33,184,068","90.80","73.88","488.81","653.49","7.2"
"2008","340","Forsyth County Schools","SUPPLIES & MATERIALS","12,526,070","7,366,382","12,917,753","32,810,205","246.67","145.06","254.39","646.12","7.1"
"2008","340","Forsyth County Schools","INSTRUCTIONAL EQUIP.","1,515,233","555,049","815,463","2,885,745","29.84","10.93","16.06","56.83","0.6"
"2008","340","Forsyth County Schools","TOTAL","288,485,526","40,192,908","133,254,278","461,932,712","5,681.08","791.51","2,624.15","9,096.74","100.0"
"2008","350","Franklin County Schools","SALARIES","34,865,937","3,770,712","5,181,713","43,818,362","4,132.50","446.93","614.17","5,193.60","63.8"
"2008","350","Franklin County Schools","EMPLOYEE BENEFITS","8,583,719","1,034,915","1,583,784","11,202,418","1,017.39","122.66","187.72","1,327.77","16.3"
"2008","350","Franklin County Schools","PURCHASED SERVICES","1,617,272","743,090","3,607,148","5,967,510","191.69","88.07","427.54","707.30","8.7"
"2008","350","Franklin County Schools","SUPPLIES & MATERIALS","1,728,105","1,869,742","3,060,976","6,658,823","204.82","221.62","362.80","789.24","9.7"
"2008","350","Franklin County Schools","INSTRUCTIONAL EQUIP.","757,823","189,829","72,069","1,019,721","89.82","22.50","8.54","120.86","1.5"
"2008","010","Alamance-Burlington Schools","SALARIES","87,416,149","7,633,599","19,042,912","114,092,660","3,927.05","342.93","855.48","5,125.46","66.9"
