"Year","LEA","LEA Name","PublicSeniorInstitutions","PrivateSeniorInstitutions","CommunityTechnicalCollege","PrivateJuniorInstitutions","TradeBusinessNursing","Other","Total"
"2023","00A","North Carolina Cyber Academy","        50","        10","        94","-","        32","        59","       245"
"2023","00B","NC Virtual Academy","        17","         6","        78","-","         5","        79","       185"
"2023","010","Alamance-Burlington Schools","       371","       121","       639","*","        12","       459","     1,604"
"2023","01B","River Mill Academy","        15","*","        14","*","*","         8","        43"
"2023","01C","Clover Garden","         8","*","        22","-","-","*","        38"
"2023","01D","The Hawbridge School","        16","*","         8","-","-","*","        31"
"2023","020","Alexander County Schools","        75","        26","       147","-","-","       105","       353"
"2023","030","Alleghany County Schools","        12","         9","        51","-","         9","        18","        99"
"2023","040","Anson County Schools","        31","        29","        40","-","-","        81","       181"
"2023","050","Ashe County Schools","        62","         7","        78","-","        10","        51","       208"
"2023","060","Avery County Schools","        28","         9","        52","-","-","        36","       125"
"2023","06B","Marjorie Williams Academy","*","-","*","-","-","*","*"
"2023","070","Beaufort County Schools","       118","        11","       181","        18","-","       131","       459"
"2023","07A","Washington Montessori","         6","*","        11","-","-","-","        21"
"2023","080","Bertie County Schools","        36","         7","        28","*","*","        54","       128"
"2023","090","Bladen County Schools","        75","        15","       115","*","        15","        94","       316"
"2023","09A","Paul R Brown Leadership Academy","-","-","         7","-","-","        23","        30"
"2023","100","Brunswick County Schools","       200","        40","       447","*","        20","       291","       999"
"2023","110","Buncombe County Schools","       525","       127","       501","*","        19","       510","     1,684"
"2023","111","Asheville City Schools","       194","        52","        54","*","*","        66","       369"
"2023","11C","Invest Collegiate - Imagine","        27","         6","        19","-","-","        19","        71"
"2023","11D","The Franklin School of Innovation","        23","        15","        11","*","*","         8","        59"
"2023","120","Burke County Schools","       179","        62","       376","-","         5","       264","       886"
"2023","130","Cabarrus County Schools","       988","       222","       682","*","        69","       641","     2,604"
"2023","132","Kannapolis City Schools","       126","        11","        97","-","         6","       152","       392"
"2023","13A","Carolina International School","        17","         5","        13","-","-","        12","        47"
"2023","13B","Cabarrus Charter Academy","        10","-","         7","-","*","         5","        24"
