Year,LEA,LEA Name,INDIANMale,INDIANFemale,ASIANMale,ASIANFemale,HISPANICMale,HISPANICFemale,BLACKMale,BLACKFemale,WHITEMale,WHITEFemale,Total,TWO OR MORE RACESMale,TWO OR MORE RACESFemale,PACIFICISLANDMale,PACIFICISLANDFemale
2008,320,Durham County Schools,31,38,442,394,"2,814","2,696","9,374","9,332","3,825","3,509","32,455",,,,
2008,340,Forsyth County Schools,68,64,461,459,"4,120","4,087","9,418","9,069","12,120","11,485","51,351",,,,
2008,920,Wake County Schools,178,177,"3,634","3,598","7,623","7,223","20,676","20,443","35,995","34,455","134,002",,,,
2008,10,Alamance-Burlington Schools,29,46,158,158,"1,879","1,834","3,092","2,922","6,475","5,991","22,584",,,,
2008,20,Alexander County Schools,2,4,89,61,171,143,167,189,"2,497","2,332","5,655",,,,
2008,30,Alleghany County Schools,0,0,2,0,110,85,30,26,664,670,"1,587",,,,
2008,40,Anson County Schools,12,5,48,54,40,36,"1,279","1,272",671,648,"4,065",,,,
2008,50,Ashe County Schools,3,5,4,2,77,79,40,35,"1,572","1,449","3,266",,,,
2008,60,Avery County Schools,4,4,6,4,62,68,13,17,"1,047","1,014","2,239",,,,
2008,70,Beaufort County Schools,1,5,5,7,327,321,"1,401","1,395","1,953","1,790","7,205",,,,
2008,80,Bertie County Schools,10,4,4,10,23,9,"1,343","1,286",179,177,"3,045",,,,
2008,90,Bladen County Schools,37,46,4,2,232,230,"1,314","1,257","1,236","1,077","5,435",,,,
2008,100,Brunswick County Schools,45,51,29,28,476,398,"1,374","1,314","4,093","4,011","11,819",,,,
2008,110,Buncombe County Schools,62,51,141,183,"1,050","1,002","1,271","1,326","10,610","10,038","25,734",,,,
2008,111,Asheville City Schools,3,3,27,26,102,91,789,785,"1,011",902,"3,739",,,,
2008,120,Burke County Schools,16,15,605,520,439,422,729,644,"5,446","5,342","14,178",,,,
2008,130,Cabarrus County Schools,49,36,232,236,"1,507","1,463","2,840","2,732","9,271","8,766","27,132",,,,
2008,132,Kannapolis City Schools,3,3,38,31,526,475,839,743,"1,208","1,124","4,990",,,,
2008,140,Caldwell County Schools,9,8,46,51,386,365,598,615,"5,526","5,564","13,168",,,,
2008,150,Camden County Schools,3,2,11,13,11,12,167,128,790,768,"1,905",,,,
2008,160,Carteret County Schools,10,22,38,62,151,146,495,422,"3,581","3,351","8,278",,,,
2008,170,Caswell County Schools,5,1,6,5,80,73,696,628,919,775,"3,188",,,,
2008,180,Catawba County Schools,28,20,635,600,750,714,884,859,"6,734","6,344","17,568",,,,
2008,181,Hickory City Schools,9,8,125,120,372,357,678,686,"1,166","1,124","4,645",,,,
2008,182,Newton-Conover City Schools,2,1,89,80,261,269,321,285,804,744,"2,856",,,,
2008,190,Chatham County Schools,9,9,24,30,954,858,758,746,"2,274","2,090","7,752",,,,
2008,200,Cherokee County Schools,23,34,16,9,41,41,62,62,"1,699","1,658","3,645",,,,
2008,210,Edenton-Chowan County Schools,1,1,4,0,30,28,569,556,639,599,"2,427",,,,
2008,220,Clay County Schools,0,2,0,3,10,15,11,15,713,589,"1,358",,,,
